Column1;Column2
grande;242
bom;194
primeiro;173
novo;92
diferente;65
pequeno;64
difícil;50
segundo;47
velho;47
pronto;46
mesmo;41
próprio;39
preciso;33
único;29
português;28
importante;27
último;26
capaz;25
forte;25
materno;25
fantástico;25
livre;24
normal;24
alto;22
superior;22
engraçado;22
primário;21
interno;21
académico;21
interessante;21
público;20
enorme;20
profissional;19
principal;18
quarto;18
cultural;18
primária;16
mau;16
comum;16
social;16
possível;15
igual;15
junto;15
simples;15
antigo;15
francês;15
terceiro;14
presente;14
inglês;13
positivo;13
bastante;13
má;13
complicado;13
próximo;12
universitário;12
sozinho;12
duro;12
evidente;12
pessoal;12
militar;12
passado;12
técnico;12
alemão;12
africano;11
familiar;11
geral;11
paterno;11
engraçar;11
curioso;11
bonito;10
seguinte;10
fácil;10
afectivo;10
político;9
prático;9
imenso;9
tradicional;9
actual;9
certo;9
natural;9
esquerdo;9
europeu;8
seguro;8
quinto;8
administrativo;8
pequeninho;8
longo;8
satisfeito;8
excelente;8
sério;8
extraordinário;8
piores;8
moderno;8
físico;8
4ª;8
obrigatório;7
local;7
médico;7
doméstico;7
parecido;7
melhor;7
claro;7
externo;7
aberto;7
habituado;7
japonês;7
comigo;7
interior;7
humano;7
ligado;7
convencido;7
meio;7
horrível;7
teórico;7
