TAG	VALOR_TAG
university	Universidade do Minho
journal	UMdicas
issue	195
date	Novembro/2023
title	Os grupos culturais têm como missão inspirar a Universidade e os universitár
topic	Cultura. Cultura, Sina-Grupo de Fados, AAUMinho
interviewee	Sina-Grupo de Fados
role	Frupo de Fados
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	18
date	Outubro/2004
title	Entrevista.com Carlos Silva
role	Administrador dos SASUM
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	22
date	Fevereiro/2005
title	Yôga Antig
role	Mestre de Yôg
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	22
date	Fevereiro/2005
title	Recolocar a RUM no mercado,
role	Novo Administrador Delegado da RUM
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	23
date	Março/200
title	A dan�a � uma
role	estagiarias de Educação Físi
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	26
date	Maio/2005
title	ANIMA��O,
topic	Enterro da Gata
interviewee	Roque Teixeira
role	Presidente da AAUM
interviewer	Nuno Gouveia
university	Universidade do Minho
journal	UMdicas
issue	27
date	Maio/2005
title	Entrevistas curtas feitas nas noites do Enterro da Gata a diversas bandas que por lá actuaram..
topic	Enterro da gata
interviewee	"Fábio, baterista da Banda Eva desde 1999;Lua e Chico “Boitezuleiza”;Fuse e Mase “Dealema”; Rui Reininho “GNR”; Lulla Bye; Simão Praça “Plaza”; Ivo Capa e"
role	artistas
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	29
date	Setembro/2005
title	Entrevista com Fernando Parente
topic	Universíada
interviewee	Fernando Parente
role	Membro do secretariado da FADU
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	29
date	Setembro/2005
title	Entrevista com Pedro Dias
topic	Universíadas de Izmi
interviewee	Pedro Dias
role	membro do Comité Executivo da Federação Internacional do Desporto Universitário (F
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	29
date	Setembro/2005
title	Entrevista com Carlos Santos
topic	Universíada
interviewee	Carlos Santos
role	Presidente da FADU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	31
date	Outubro/2005
title	Antigo Aluno da UMinho de volta a casa
topic	Volta ao mundo
interviewee	Filipe Morato Gomes
role	antigo aluno de LESI da UMinho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	32
date	Outubro/2005
title	GSI avalia o uso da tecnologia pelos alunos da UMinho
topic	
interviewee	Engenheiro José Fernande
role	director do Gabinete de Sistemas de Informação (GS
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	33
date	Novembro/2005
title	GRI, o interface entre UMinho
topic	Projectos e iniciativas de cooperação e mobilidade académ
interviewee	Adriana Lago de Carvalho
role	responsável do Gabinete de Relações Internacionais (G
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	33
date	Novembro/2005
title	Papa da UMinho faz balanço da praxe e projecta o futur
topic	Praxe
interviewee	António Carneir
role	Papa da Uminho
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	33
date	Novembro/2005
title	Entrevista com Rui Gonçalves Presidente do Núcleo de Estudos de Engenharia Biológi
topic	I Feira de Biotecnologia do Minho.
interviewee	Rui Gonçalve
role	Presidente do Núcleo de Estudos de Engenharia Biológic
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	34
date	Dezembro/2005
title	A entrevista, antes das eleições, com Rui Cruz (Lista A) e Roque Teixeira (Lista B) candidatos à presidência da 
topic	Eleiçõ
interviewee	"Rui Cruz; Roque Teixeira"
role	Candidatos à associação Académica da Universidade do Mi
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	35
date	Dezembro/2005
title	Entrevista ao Reitor da Universidade do Minho
topic	balanço dos quase 4 anos como Reito
interviewee	Reitor da Universidade do Minho
role	Reitor da Universidade do Minho
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	35
date	Dezembro/2005
title	Entrevista ao Administrador dos SASUM
